ICR,Race,TwoBlocks
15003971,Black,0
15003988,Black,0
15004041,Black,0
15004087,Black,0
15004100,Black,0
15004112,Black,0
15004116,Black,0
15004127,Black,0
15004145,Black,0
15004164,Black,0
15004166,Black,0
15004184,Black,0
15003715,Black,0
15004200,Black,0
15004205,Black,0
15004210,Black,0
15004223,Black,0
15004228,Black,0
15004236,Black,0
15004245,Black,0
15004254,Black,0
15004304,Black,0
15004308,Black,0
15004314,Black,0
15004322,Black,0
15004330,Black,0
15004340,Black,0
15004341,Black,0
15004345,Black,0
15004353,Black,0
15004421,Black,0
15004429,Black,0
15004431,Black,0
15004434,Black,0
15004450,Black,0
15004472,Black,0
15004474,Black,0
15004473,Black,0
15004478,Black,0
15004483,Black,0
15004500,Black,0
15004356,Black,0
15004517,Black,0
15004536,Black,0
15004553,Black,0
15004568,Black,0
15004576,Black,0
15004584,Black,0
15004588,Black,0
15004486,Black,0
15004602,Black,0
15004627,Black,0
15004647,Black,0
15004720,Black,0
15004739,Black,0
15004749,Black,0
15004807,Black,0
15004809,Black,0
15004858,Black,0
15004870,Black,0
15004896,Black,0
15004902,Black,0
15004908,Black,0
15004899,Black,0
15004899,Black,0
15004934,Black,0
15004900,Black,0
15004900,Black,0
15004942,Black,0
15004943,Black,0
15004952,Black,0
