ICR,Race,TwoBlocks
15011174,Black,0
15011199,Black,0
15011261,Black,0
15011278,Black,0
15011320,Black,0
15011331,Black,0
15011344,Black,0
15011355,Black,0
15011372,Black,0
15011538,Black,0
15011569,Black,0
15011570,Black,0
15011630,Black,0
15011687,Black,0
15011688,Black,0
15011724,Black,0
15011727,Black,0
15011799,Black,0
15011831,Black,0
15011832,Black,0
15011857,Black,0
15011891,Black,0
15011908,Black,0
15011946,Black,0
15011981,Black,0
15012017,Black,0
15012051,Black,0
15012081,Black,0
15012140,Black,0
15012142,Black,0
15012159,Black,0
15012185,Black,0
15012190,Black,0
15012245,Black,0
15012255,Black,0
15012258,Black,0
15012263,Black,0
15012295,Black,0
15012327,Black,0
15012345,Black,0
15012400,Black,0
15012601,Black,0
15012606,Black,0
15012641,Black,0
15012812,Black,0
15000008,White,0
15000028,White,0
15000035,White,0
15000039,White,0
15000040,White,0
15000046,White,0
15000058,White,0
15000070,White,0
15000071,White,0
15000075,White,0
15000086,White,0
15000113,White,0
15000117,White,0
15000119,White,0
15000135,White,0
15000157,White,0
15000164,White,0
15000171,White,0
15000173,White,0
15000175,White,0
15000218,White,0
15000219,White,0
15000222,White,0
15000225,White,0
15000227,White,0
15000250,White,0
15000254,White,0
15000259,White,0
15000270,White,0
15000273,White,0
15000282,White,0
15000283,White,0
15000300,White,0
15000313,White,0
15000317,White,0
15000318,White,0
15000331,White,0
15000341,White,0
15000353,White,0
15000360,White,0
15000363,White,0
15000375,White,0
15000375,White,0
15000381,White,0
15000382,White,0
15000375,White,0
15000386,White,0
15000395,White,0
15000404,White,0
15000406,White,0
15000407,White,0
15000410,White,0
15000411,White,0
15000412,White,0
15000420,White,0
15000424,White,0
15000425,White,0
15000437,White,0
15000438,White,0
15000444,White,0
15000449,White,0
15000451,White,0
15000464,White,0
15000469,White,0
15000478,White,0
15000480,White,0
15000482,White,0
15000486,White,0
15000492,White,0
15000495,White,0
15000496,White,0
15000500,White,0
15000515,White,0
15000518,White,0
15000520,White,0
15000521,White,0
15000534,White,0
15000551,White,0
15000562,White,0
15000564,White,0
15000568,White,0
15000569,White,0
15000571,White,0
15000572,White,0
15000581,White,0
15000585,White,0
15000595,White,0
15000604,White,0
15000605,White,0
15000606,White,0
15000607,White,0
15000610,White,0
15000611,White,0
15000614,White,0
15000615,White,0
15000616,White,0
15000617,White,0
15000618,White,0
15000640,White,0
15000645,White,0
15000652,White,0
15000658,White,0
15000661,White,0
15000662,White,0
15000664,White,0
15000673,White,0
15000692,White,0
15000694,White,0
15000703,White,0
15000727,White,0
15000728,White,0
15000739,White,0
15000740,White,0
15000742,White,0
15000743,White,0
15000744,White,0
15000745,White,0
15000798,White,0
15000808,White,0
15000809,White,0
15000810,White,0
15000815,White,0
15000816,White,0
15000832,White,0
15000833,White,0
15000835,White,0
15000840,White,0
15000842,White,0
15000845,White,0
15000846,White,0
15000851,White,0
15000861,White,0
15000868,White,0
15000890,White,0
15000894,White,0
15000906,White,0
15000917,White,0
15000920,White,0
15000928,White,0
15000930,White,0
15000931,White,0
15000944,White,0
15000952,White,0
15000953,White,0
15000956,White,0
15000961,White,0
15000976,White,0
15000981,White,0
15000988,White,0
15000982,White,0
15000999,White,0
15001001,White,0
15001002,White,0
15001008,White,0
15001011,White,0
15001013,White,0
15001021,White,0
15001025,White,0
15001027,White,0
15001033,White,0
15001046,White,0
15001051,White,0
15001064,White,0
15001067,White,0
15001078,White,0
15001088,White,0
15001090,White,0
15001092,White,0
15001093,White,0
15001100,White,0
15001109,White,0
15001111,White,0
15001113,White,0
15001114,White,0
15001117,White,0
15001122,White,0
15001125,White,0
15001129,White,0
15001131,White,0
15001134,White,0
15001135,White,0
15001136,White,0
15001137,White,0
15001149,White,0
15001153,White,0
15001164,White,0
15001176,White,0
15001183,White,0
15001191,White,0
15001213,White,0
15001215,White,0
15001219,White,0
15001221,White,0
15001222,White,0
15001225,White,0
15001226,White,0
